VAERS_ID,Precision,Recall,F1
1996876.0,0.5,0.6666666666666666,0.5714285714285715
1996877.0,0.0,0.0,0.0
1996878.0,0.6,0.75,0.6666666666666665
1996879.0,0.1111111111111111,0.5,0.1818181818181818
1996880.0,0.3,0.6,0.4
1996881.0,0.2,0.25,0.22222222222222224
1996882.0,0.25,1.0,0.4
1996883.0,1.0,0.3333333333333333,0.5
1996884.0,1.0,0.5,0.6666666666666666
1996885.0,1.0,1.0,1.0
1996886.0,0.0,0.0,0.0
1996887.0,0.5,0.5,0.5
1996888.0,0.16666666666666666,0.16666666666666666,0.16666666666666666
1996889.0,0.5,0.25,0.3333333333333333
1996890.0,0.0,0.0,0.0
1996891.0,0.0,0.0,0.0
1996892.0,0.5,0.16666666666666666,0.25
1996893.0,0.0,0.0,0.0
1996894.0,0.3333333333333333,0.25,0.28571428571428575
1996896.0,0.0,0.0,0.0
1996897.0,0.5,0.2857142857142857,0.36363636363636365
1996898.0,0.0,0.0,0.0
1996899.0,0.3333333333333333,0.16666666666666666,0.2222222222222222
1996900.0,1.0,0.25,0.4
1996901.0,0.0,0.0,0.0
1996902.0,0.0,0.0,0.0
1996903.0,0.0,0.0,0.0
1996904.0,1.0,0.2,0.33333333333333337
1996905.0,0.0,0.0,0.0
1996906.0,0.0,0.0,0.0
1996907.0,0.0,0.0,0.0
1996908.0,1.0,0.5,0.6666666666666666
1996909.0,0.0,0.0,0.0
1996910.0,0.0,0.0,0.0
1996912.0,0.0,0.0,0.0
1996913.0,0.0,0.0,0.0
1996914.0,0.6666666666666666,0.2857142857142857,0.4
1996916.0,0.0,0.0,0.0
1996917.0,0.0,0.0,0.0
1996918.0,0.25,0.14285714285714285,0.18181818181818182
1996919.0,0.0,0.0,0.0
1996920.0,0.0,0.0,0.0
1996921.0,0.0,0.0,0.0
1996922.0,0.0,0.0,0.0
1996923.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
1996924.0,0.0,0.0,0.0
1996925.0,0.0,0.0,0.0
1996926.0,0.0,0.0,0.0
1996927.0,0.0,0.0,0.0
1996928.0,0.0,0.0,0.0
1996930.0,0.0,0.0,0.0
1996931.0,0.0,0.0,0.0
1996932.0,0.0,0.0,0.0
1996933.0,1.0,0.14285714285714285,0.25
1996934.0,0.0,0.0,0.0
